PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS,2021/22 Salary,Team Payroll,Percentage of Team Payroll
Danilo Gallinari,ATL,33,66,35,31,25.3,116.0,112.6,3.4,8.6,2.66,12.5,2.1,16.1,9.2,4.7,52.8,57.9,18.2,99.77,9.9,3471,20475000.0,135166020.0,15.1
Bogdan Bogdanovic,ATL,29,63,33,30,29.3,116.6,112.1,4.5,15.2,2.77,17.5,1.6,11.6,6.7,6.3,53.7,56.2,21.2,98.89,9.8,3818,18000000.0,135166020.0,13.3
Delon Wright,ATL,30,77,42,35,18.9,111.6,108.8,2.8,17.8,4.18,35.4,3.5,11.6,7.5,8.5,53.5,57.6,10.1,99.19,9.7,2991,8526316.0,135166020.0,6.3
Kevin Huerter,ATL,23,74,40,34,29.6,116.4,112.5,3.8,12.5,2.23,18.9,1.4,9.8,5.6,8.5,55.9,57.0,16.9,100.31,7.2,4570,4253357.0,135166020.0,3.1
De'Andre Hunter,ATL,24,53,28,25,29.8,114.6,113.9,0.7,6.0,0.99,8.7,1.6,9.3,5.5,8.8,50.6,54.7,19.4,100.17,5.8,3294,7775400.0,135166020.0,5.8
Jarrett Allen,CLE,24,56,35,21,32.3,110.0,106.7,3.3,7.9,0.98,11.1,10.9,21.3,16.3,11.3,67.8,69.8,17.7,97.30,16.0,3674,20000000.0,136385911.0,14.7
Kevin Love,CLE,33,74,38,36,22.5,108.9,107.4,1.5,15.3,1.63,14.5,5.1,25.8,15.5,8.9,55.3,59.4,23.9,99.97,15.2,3487,31258256.0,136385911.0,22.9
Darius Garland,CLE,22,68,37,31,35.7,113.6,106.9,6.6,37.8,2.35,27.8,1.7,7.4,4.6,11.8,53.6,57.6,27.2,97.42,13.4,4954,7040880.0,136385911.0,5.2
Moses Brown,CLE,22,40,19,21,8.6,102.4,108.5,-6.2,0.5,0.05,0.6,11.0,25.7,18.6,12.3,59.3,61.2,19.9,101.07,11.7,723,1933909.0,136385911.0,1.4
Evan Mobley,CLE,20,69,40,29,33.8,108.5,106.8,1.7,11.7,1.31,14.0,6.3,17.4,12.0,10.7,52.2,54.9,20.1,97.50,11.6,4741,8075160.0,136385911.0,5.9
Caris LeVert,CLE,27,58,23,35,30.7,112.7,114.5,-1.8,21.9,2.30,19.2,2.4,9.7,6.0,8.3,49.2,52.5,25.2,97.93,9.8,3634,17500000.0,136385911.0,12.8
Lauri Markkanen,CLE,25,61,32,29,30.8,113.9,109.9,3.9,6.2,1.50,8.9,3.3,14.7,9.2,5.9,54.2,58.2,19.2,97.70,9.7,3831,15690909.0,136385911.0,11.5
Rajon Rondo,CLE,36,39,16,23,17.9,98.9,106.8,-7.8,36.6,2.50,40.2,2.0,11.8,7.0,16.1,47.4,49.6,15.2,101.99,9.6,1486,7500000.0,136385911.0,5.5
Brandon Goodwin,CLE,26,36,19,17,13.9,106.3,112.6,-6.3,27.8,2.53,30.7,2.8,11.0,6.8,12.2,47.7,50.1,17.7,96.14,8.8,1009,343988.0,136385911.0,0.3
Cedi Osman,CLE,27,66,37,29,22.1,107.5,109.2,-1.8,14.4,2.01,16.3,1.7,8.0,4.9,8.1,54.4,56.3,20.6,99.48,8.1,3028,8133334.0,136385911.0,6.0
Dylan Windler,CLE,25,50,28,22,9.2,101.6,101.6,0.0,11.1,2.13,21.8,4.7,14.6,9.8,10.3,48.5,51.9,11.5,97.47,6.9,928,2239200.0,136385911.0,1.6
Dean Wade,CLE,25,51,27,24,19.2,105.8,103.8,2.0,7.7,3.25,17.6,3.1,12.0,7.5,5.4,57.4,58.4,10.7,97.79,6.8,1996,1782621.0,136385911.0,1.3
Lamar Stevens,CLE,24,63,35,28,16.1,108.4,109.7,-1.3,6.6,1.07,10.1,4.8,11.2,8.1,9.4,51.7,54.4,16.9,98.00,6.8,2066,1517981.0,136385911.0,1.1
Isaac Okoro,CLE,21,67,34,33,29.6,112.4,109.3,3.1,8.3,2.09,17.8,3.7,6.5,5.2,8.5,54.4,58.9,12.3,97.54,5.7,4014,6720720.0,136385911.0,4.9
Karl-Anthony Towns,MIN,26,74,44,30,33.5,116.9,111.6,5.3,17.7,1.19,14.2,7.4,21.0,14.1,11.9,59.1,64.0,27.2,101.48,15.9,5232,31650600.0,137432702.0,23.0
Nathan Knight,MIN,24,37,22,15,7.2,105.5,101.9,3.6,12.6,1.22,14.1,11.4,17.4,14.5,11.5,53.4,60.3,20.3,104.06,12.1,580,462629.0,137432702.0,0.3
D'Angelo Russell,MIN,26,65,39,26,31.9,114.5,109.8,4.7,32.0,2.79,27.0,1.1,8.9,5.0,9.7,50.2,54.4,24.6,102.39,11.4,4431,30013500.0,137432702.0,21.8
Anthony Edwards,MIN,20,72,39,33,34.2,114.6,110.6,4.0,17.3,1.45,15.0,2.3,11.3,6.7,10.4,52.7,56.0,26.2,101.18,11.1,5189,10245480.0,137432702.0,7.5
Jaylen Nowell,MIN,22,62,37,25,15.7,114.5,111.7,2.8,19.7,3.61,21.1,2.2,10.0,6.1,5.8,55.1,58.1,20.5,103.50,10.8,2107,1782621.0,137432702.0,1.3
Naz Reid,MIN,22,77,42,35,15.8,105.5,107.9,-2.4,9.1,0.87,10.3,7.4,16.1,11.5,11.8,54.9,58.8,20.9,103.86,10.3,2616,1782621.0,137432702.0,1.3
Jarred Vanderbilt,MIN,23,74,41,33,25.4,115.5,110.5,5.0,6.6,1.29,16.0,10.7,21.2,15.8,12.5,59.0,61.2,10.8,101.00,10.3,3941,4050000.0,137432702.0,2.9
Patrick Beverley,MIN,33,58,33,25,25.4,113.6,109.8,3.7,24.9,3.67,32.1,3.8,11.9,7.7,8.7,50.1,53.9,15.8,101.06,9.4,3105,14320987.0,137432702.0,10.4
Jordan McLaughlin,MIN,26,62,36,26,14.5,111.4,109.0,2.4,25.8,4.74,41.4,2.3,7.5,4.9,8.7,50.7,53.5,11.5,105.44,8.8,1976,2000000.0,137432702.0,1.5
Malik Beasley,MIN,25,79,46,33,25.0,112.1,110.1,2.0,8.5,2.70,11.3,1.2,10.0,5.4,4.2,53.2,54.4,18.9,103.24,8.1,4250,14491964.0,137432702.0,10.5
Taurean Prince,MIN,28,69,40,29,17.1,111.6,110.9,0.7,8.0,1.28,12.5,2.1,12.0,7.0,9.8,56.4,58.9,16.6,104.57,7.6,2553,13334375.0,137432702.0,9.7
Jake Layman,MIN,28,34,20,14,6.8,105.3,108.7,-3.4,5.5,0.90,9.0,2.5,12.3,7.4,10.0,46.6,50.0,16.0,105.34,6.4,509,3940184.0,137432702.0,2.9
